Final URL,Repository Path,Bytes,KB,Format,Width,Height,Git Tracked,Reference Location
https://www.qiuxiaomiao.com/assets/inputs/film-coraline.jpg,public/assets/inputs/film-coraline.jpg,8846,8.6,jpeg,259,384,yes,src/data/aestheticInputs.js:40 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-coraline.webp,public/assets/inputs/film-coraline.webp,8010,7.8,webp,259,384,yes,src/data/aestheticInputs.js:40
https://www.qiuxiaomiao.com/assets/inputs/film-flying-colors-w480.webp,public/assets/inputs/film-flying-colors-w480.webp,34920,34.1,webp,480,669,yes,generated responsive candidate for /assets/inputs/film-flying-colors.webp
https://www.qiuxiaomiao.com/assets/inputs/film-flying-colors.jpg,public/assets/inputs/film-flying-colors.jpg,86205,84.2,jpeg,717,1000,yes,src/data/aestheticInputs.js:41 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-flying-colors.webp,public/assets/inputs/film-flying-colors.webp,71036,69.4,webp,717,1000,yes,src/data/aestheticInputs.js:41
https://www.qiuxiaomiao.com/assets/inputs/film-maxxxine.jpg,public/assets/inputs/film-maxxxine.jpg,18762,18.3,jpeg,259,384,yes,src/data/aestheticInputs.js:45 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-maxxxine.webp,public/assets/inputs/film-maxxxine.webp,16352,16.0,webp,259,384,yes,src/data/aestheticInputs.js:45
https://www.qiuxiaomiao.com/assets/inputs/film-pearl.jpg,public/assets/inputs/film-pearl.jpg,19985,19.5,jpeg,250,370,yes,src/data/aestheticInputs.js:43 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-pearl.webp,public/assets/inputs/film-pearl.webp,17662,17.2,webp,250,370,yes,src/data/aestheticInputs.js:43
https://www.qiuxiaomiao.com/assets/inputs/film-run-lola-run.jpg,public/assets/inputs/film-run-lola-run.jpg,19471,19.0,jpeg,259,384,yes,src/data/aestheticInputs.js:46 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-run-lola-run.webp,public/assets/inputs/film-run-lola-run.webp,18820,18.4,webp,259,384,yes,src/data/aestheticInputs.js:46
https://www.qiuxiaomiao.com/assets/inputs/film-sun-rises-w480.webp,public/assets/inputs/film-sun-rises-w480.webp,56020,54.7,webp,480,720,yes,generated responsive candidate for /assets/inputs/film-sun-rises.webp
https://www.qiuxiaomiao.com/assets/inputs/film-sun-rises.jpg,public/assets/inputs/film-sun-rises.jpg,212732,207.7,jpeg,900,1350,yes,src/data/aestheticInputs.js:42 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-sun-rises.webp,public/assets/inputs/film-sun-rises.webp,226860,221.5,webp,900,1350,yes,src/data/aestheticInputs.js:42
https://www.qiuxiaomiao.com/assets/inputs/film-x.jpg,public/assets/inputs/film-x.jpg,25565,25.0,jpeg,258,388,yes,src/data/aestheticInputs.js:44 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/film-x.webp,public/assets/inputs/film-x.webp,23690,23.1,webp,258,388,yes,src/data/aestheticInputs.js:44
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-01-w1600.webp,public/assets/inputs/live-simple-life-01-w1600.webp,56454,55.1,webp,1600,865,yes,generated responsive candidate for /assets/inputs/live-simple-life-01.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-01-w480.webp,public/assets/inputs/live-simple-life-01-w480.webp,11308,11.0,webp,480,260,yes,generated responsive candidate for /assets/inputs/live-simple-life-01.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-01-w960.webp,public/assets/inputs/live-simple-life-01-w960.webp,29372,28.7,webp,960,519,yes,generated responsive candidate for /assets/inputs/live-simple-life-01.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-01.jpg,public/assets/inputs/live-simple-life-01.jpg,92644,90.5,jpeg,1831,990,yes,src/components/AestheticDialog.jsx:150 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-01.webp,public/assets/inputs/live-simple-life-01.webp,79960,78.1,webp,1831,990,yes,src/components/AestheticDialog.jsx:150
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-02-w1600.webp,public/assets/inputs/live-simple-life-02-w1600.webp,44206,43.2,webp,1600,873,yes,generated responsive candidate for /assets/inputs/live-simple-life-02.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-02-w480.webp,public/assets/inputs/live-simple-life-02-w480.webp,8776,8.6,webp,480,262,yes,generated responsive candidate for /assets/inputs/live-simple-life-02.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-02-w960.webp,public/assets/inputs/live-simple-life-02-w960.webp,22364,21.8,webp,960,524,yes,generated responsive candidate for /assets/inputs/live-simple-life-02.webp
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-02.jpg,public/assets/inputs/live-simple-life-02.jpg,77652,75.8,jpeg,1868,1019,yes,src/components/AestheticDialog.jsx:154 (JPG fallback)
